SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
83946,43,1,3,15,5
83947,33,2,3,10,2.67
83948,13,2,1,6,0.8
83949,78,2,3,6,2.38
83950,55,1,3,2,0.61
83951,24,1,4,9,2.98
83952,14,2,1,7,1.23
83953,46,2,1,15,5
83954,53,1,3,14,5
83955,47,1,4,14,4.48
83956,0,2,3,15,4.12
83957,0,2,1,3,0.49
83958,47,2,4,6,0.25
83959,22,2,3,4,0.8
83960,12,1,3,15,3.52
83961,44,2,3,14,3.7
83962,28,2,4,7,1.65
83963,44,2,4,6,1.51
83964,72,2,6,10,4.06
83965,49,1,1,3,1.24
83966,27,1,1,4,0.57
83967,40,1,7,15,5
83968,11,1,3,77,NA
83969,21,2,3,6,2.01
83970,9,1,6,4,0.95
83971,26,2,3,9,2.27
83972,10,2,1,8,2.06
83973,63,1,3,15,5
83974,2,2,7,7,1.17
83975,65,2,2,14,4.11
83976,80,1,3,5,2.02
83977,80,2,3,7,2.5
83978,8,2,4,3,0.6
83979,15,1,1,15,4.44
83980,10,2,3,15,3.52
83981,15,1,4,10,2.67
83982,25,1,3,15,3.07
83983,71,2,2,8,2.82
83984,6,2,1,15,5
83985,55,1,3,15,5
83986,40,1,3,7,1.11
83987,68,1,1,3,0.35
83988,21,1,1,8,1.76
83989,37,2,4,1,0.16
83990,79,2,1,3,0.65
83991,14,2,7,6,1.44
83992,68,1,6,15,5
83993,41,2,4,6,2.1
83994,60,2,3,15,5
83995,43,1,4,15,5
83996,60,2,4,77,NA
83997,13,1,4,9,1.87
83998,31,2,3,7,3.57
83999,71,1,6,3,0.75
84000,2,1,4,1,0.02
84001,54,2,2,9,4.89
84002,48,1,3,15,5
84003,1,2,1,99,NA
84004,14,2,1,10,2.68
84005,26,1,4,8,1.85
84006,45,2,4,4,0.87
84007,27,2,7,10,3.42
84008,62,2,6,7,2.26
84009,9,2,4,15,4.22
84010,68,2,3,8,3.26
84011,32,1,3,7,1.43
84012,24,1,1,10,2.39
84013,14,1,3,9,1.42
84014,53,1,6,15,5
84015,73,1,1,NA,NA
84016,41,2,1,15,5
84017,7,2,2,NA,NA
84018,27,1,3,14,5
84019,54,1,4,15,3.55
84020,2,1,3,15,4.96
84021,29,2,7,8,1.47
84022,60,2,1,9,2.88
84023,19,2,3,NA,NA
84024,4,1,3,15,4.12
84025,18,2,3,8,1.23
84026,44,1,7,2,0.35
84027,2,1,6,1,0
84028,61,2,3,15,5
84029,28,2,1,NA,NA
84030,46,1,1,77,NA
84031,2,2,7,NA,NA
84032,51,1,1,77,NA
84033,41,2,7,9,3.11
84034,25,2,4,7,1.55
84035,10,1,2,1,0.12
84036,36,1,3,14,3.37
84037,66,1,3,15,5
84038,23,2,3,7,2.36
84039,36,1,3,7,1.48
84040,62,1,6,9,2.58
84041,71,2,3,15,5
84042,75,1,3,6,1.97
84043,0,2,1,4,0.65
84044,58,2,2,8,1.76
84045,10,2,3,9,1.22
84046,45,2,3,15,5
84047,72,2,6,15,5
84048,0,1,4,15,5
84049,11,1,1,NA,NA
84050,79,2,3,12,NA
84051,55,2,1,9,2.74
84052,8,1,4,15,5
84053,1,2,4,6,0.68
84054,17,1,1,7,1.55
84055,64,2,6,9,3.77
84056,14,2,6,10,2.97
84057,3,1,4,7,1.55
84058,21,2,3,9,2.2
84059,4,2,4,4,0.39
84060,0,2,1,5,0.77
84061,50,2,3,9,3.64
84062,45,2,1,3,0.31
84063,14,1,3,5,0.74
84064,0,2,2,8,1.76
84065,48,2,3,6,2.12
84066,14,2,3,15,5
84067,0,2,3,7,1.2
84068,59,1,4,9,5
84069,61,2,4,77,NA
84070,40,1,3,12,4.08
84071,72,2,6,9,2.59
84072,27,2,2,9,2.74
