SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
73557,69,1,4,4,0.84
73558,54,1,3,7,1.78
73559,72,1,3,10,4.51
73560,9,1,3,9,2.52
73561,73,2,3,15,5
73562,56,1,1,9,4.79
73563,0,1,3,15,5
73564,61,2,3,10,5
73565,42,1,2,15,5
73566,56,2,3,4,0.48
73567,65,1,3,3,1.2
73568,26,2,3,15,5
73569,0,2,7,77,NA
73570,9,2,7,5,0.84
73571,76,1,3,14,5
73572,10,2,4,2,0.41
73573,10,1,4,8,1.79
73574,33,2,6,8,2.1
73575,1,1,4,3,0.76
73576,16,1,4,8,1.58
73577,32,1,1,5,0.29
73578,18,1,1,5,0.58
73579,12,2,3,10,2.97
73580,38,2,4,12,NA
73581,50,1,6,15,5
73582,23,2,4,3,0.69
73583,7,2,3,15,5
73584,13,1,3,9,3.07
73585,28,1,6,7,2.26
73586,4,2,6,6,1.27
73587,14,1,6,15,3.33
73588,11,1,4,6,1.54
73589,35,1,3,5,1.74
73590,2,1,1,5,0.8
73591,6,1,3,15,5
73592,29,1,1,12,2.14
73593,3,1,3,15,4.19
73594,23,1,2,5,0.45
73595,58,1,2,8,3.09
73596,57,2,6,15,5
73597,50,2,4,15,2.18
73598,20,1,1,NA,NA
73599,13,2,3,8,1.52
73600,37,1,4,5,0.63
73601,12,1,1,14,3.82
73602,3,1,2,NA,NA
73603,35,1,6,14,3.77
73604,69,2,3,10,2.44
73605,13,1,3,15,4.25
73606,16,1,3,14,3.23
73607,75,1,3,4,1.08
73608,3,1,6,3,0.42
73609,11,2,1,6,1.09
73610,43,1,3,10,2.03
73611,3,2,2,5,0.45
73612,6,2,6,7,0.88
73613,60,2,4,15,5
73614,55,2,3,5,1.29
73615,65,2,2,3,1.22
73616,62,2,3,15,5
73617,6,1,1,4,0.47
73618,54,2,3,13,NA
73619,36,2,1,3,0.84
73620,3,2,3,15,5
73621,80,1,3,14,5
73622,72,1,3,14,5
73623,32,1,3,14,3.27
73624,31,2,3,4,0.47
73625,13,1,1,77,NA
73626,72,2,4,4,0.78
73627,0,1,6,15,3.63
73628,80,1,3,7,3
73629,26,2,4,14,3.45
73630,13,1,6,15,5
73631,56,2,4,2,0.71
73632,23,1,1,7,2.48
73633,43,2,3,14,3.56
73634,65,1,4,6,1.52
73635,4,2,1,15,5
73636,1,2,1,14,3.82
73637,2,2,3,2,0.3
73638,63,2,7,6,2.18
73639,71,1,3,7,1.45
73640,67,2,4,6,2.23
73641,64,2,3,2,0.77
73642,57,2,3,8,2.27
73643,62,1,6,1,0
73644,8,1,7,7,1.13
73645,54,2,3,15,5
73646,4,1,1,15,4.25
73647,61,2,2,10,3.53
73648,16,2,4,15,5
73649,3,1,3,2,0.31
73650,6,1,7,10,2.19
73651,6,2,4,9,2.31
73652,54,2,4,9,3.81
73653,10,2,4,3,0.38
73654,46,1,3,4,1
73655,44,1,4,8,1.79
73656,54,1,3,15,4.25
73657,19,2,1,7,1.45
73658,35,1,6,15,5
73659,70,2,3,6,1.93
73660,59,1,6,7,1.82
73661,25,1,4,7,2.02
73662,39,1,3,3,0.61
